"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512.56829834","563.73712158","550.0645752","602.69360352","585.72125244","626.7166748","648.22711182","694.53643799","673.83752441","591.42523193","701.81781006","693.80725098","727.25695801","711.22979736","792.8414917","754.24188232","778.45111084","795.55981445","875.17254639","","",
"Australia","AUS","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1638.81494141","1564.16650391","1770.46618652","2249.29077148","2767.13696289","3013.08764648","3184.80761719","3799.73754883","4090.76196289","3995.34008789","4945.03808594","5861.70263672","6025.34472656","5813.98535156","5607.91796875","4860.37207031","4971.61474609","5308.78320313","5425.34033203","","",
"Austria","AUT","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2269.12646484","2282.51586914","2497.8659668","3091.24023438","3594.65039063","3710.39794922","3882.98193359","4478.76855469","5057.76074219","4928.98779297","4800.79345703","5167.81787109","4966.09570313","5235.34130859","5393.60205078","4612.82421875","4709.87597656","4937.97705078","5326.43701172","","",
"Azerbaijan","AZE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.14171791","19.18987465","20.59066963","23.80161095","27.38257599","35.07611465","50.24787903","75.39520264","107.36143494","129.7258606","145.84526062","176.40847778","222.98551941","239.95080566","267.3097229","226.51002502","156.99572754","155.0982666","165.7674408","","",
"Burundi","BDI","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.42834568","8.60474777","7.96743488","7.16897392","9.8821106","12.77716923","16.64111137","18.25146484","18.31873894","21.8832016","26.41332245","25.13240814","21.51785278","21.93877029","20.53392982","19.4568367","22.41840553","23.58145905","24.02547073","","",
"Belgium","BEL","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1849.91601563","1879.93481445","2084.7199707","2828.17163086","3326.45019531","3420.07885742","3558.54248047","4078.58325195","4671.56542969","4653.91503906","4544.99609375","4943.83203125","4706.61816406","4947.86474609","4999.18847656","4290","4328.84619141","4618.20898438","4912.70068359","","",
"Benin","BEN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.88687897","16.81288338","17.47441101","21.57793999","24.54393578","24.12298584","25.40521812","27.92425346","30.30306816","30.71387672","31.04154778","34.96141434","39.10080719","35.76725006","34.44753647","31.30697823","30.22834778","30.05702591","30.9390583","","",
"Burkina Faso","BFA","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.52564335","7.70798016","8.71375179","11.74841595","17.61220932","18.08620071","21.35472488","27.96674919","29.78364944","31.59088516","33.91081619","34.8739357","34.89026642","43.79697418","39.59173203","33.51475906","40.95483017","44.40372086","40.24945068","","",
"Bangladesh","BGD","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.56026173","8.36238003","9.34001255","10.27598572","11.08631516","11.60705376","12.33577824","14.31881523","15.80424309","17.92318726","20.80270004","22.84561729","23.45907974","26.67387962","29.74625206","32.84908676","34.58186722","37.43084717","41.90905762","","",
"Bulgaria","BGR","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.49745178","119.82997894","148.1479187","195.74369812","233.11332703","267.74139404","294.10891724","361.23498535","455.54058838","459.30020142","484.75228882","555.86419678","558.64794922","547.45483398","605.25891113","521.41906738","562.34082031","618.70593262","689.90539551","","",
"Bahrain","BHR","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","485.6864624","484.90734863","503.03005981","567.23797607","550.35980225","570.29425049","591.3112793","692.96832275","757.73614502","785.26031494","796.31842041","805.3147583","971.36846924","1066.13244629","1101.25683594","1128.75915527","1098.88354492","1126.06689453","994.17901611","","",
"Bahamas, The","BHS","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030.96899414","1078.69445801","1100.53259277","1138.74060059","1148.94238281","1220.78820801","1323.53088379","1415.03674316","1489.42724609","1470.68774414","1495.23132324","1491.04162598","1568.28796387","1609.31799316","1670.24035645","1635.88293457","1774.02172852","2174.17675781","2013.37927246","","",
"Bosnia and Herzegovina","BIH","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.31326294","112.06851959","127.21139526","180.99417114","244.52740479","262.89282227","303.51223755","388.09899902","482.93652344","425.05114746","417.74832153","467.03192139","452.97650146","486.17611694","503.99246216","441.46075439","460.88534546","481.83258057","539.54663086","","",
"Belarus","BLR","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.66816711","74.33643341","87.08403778","109.87693024","142.74801636","198.30737305","223.83119202","281.07763672","351.72796631","290.70153809","343.67910767","319.75372314","365.87493896","456.4916687","450.22262573","362.75283813","298.62658691","333.54107666","356.25073242","","",
"Belize","BLZ","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131.96932983","156.85630798","165.59913635","167.88917542","169.63439941","174.03317261","188.70393372","226.0124054","249.63131714","241.48535156","242.34942627","252.94587708","246.76046753","258.22540283","292.44442749","284.11450195","296.22402954","282.58279419","285.98583984","","",
"Bermuda","BMU","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.84843826","45.78475189","44.27474976","47.16543961","47.04486847","52.48216629","56.81023026","64.47034454","79.01570129","90.77088165","101.72988129","121.37858582","137.1217804","162.12197876","181.71205139","198.87557983","210.23809814","217.49468994","223.59788513","","",
"Brazil","BRA","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312.53927612","270.18981934","246.94700623","251.4379425","295.52862549","384.93200684","485.59933472","602.68591309","707.49121094","721.76800537","896.69714355","1031.57617188","957.00708008","981.15283203","1017.04711914","781.80999756","801.41131592","935.29919434","848.38885498","","",
"Barbados","BRB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600.80895996","619.33959961","665.92028809","781.96508789","915.30462646","935.64044189","1000.6171875","1015.60668945","1107.04602051","1135.60986328","1087.65649414","1135.5177002","1263.91870117","1233.11486816","1153.88415527","1119.54821777","1129.19335938","1151.69372559","1164.54455566","","",
"Brunei Darussalam","BRN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","508.54840088","464.79043579","473.22723389","535.27740479","619.2869873","646.16021729","654.69018555","702.66918945","788.61535645","741.29534912","803.52685547","877.15759277","883.67559814","849.33062744","798.79370117","743.92004395","692.03570557","648.66882324","763.15289307","","",
"Bhutan","BTN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.89350891","35.94556046","36.13760376","37.73608017","46.90710449","47.74116898","55.31650925","66.06005859","58.85731506","61.12592697","74.09108734","79.5575943","85.97568512","88.24406433","88.89917755","98.56243896","98.90504456","104.85510254","102.73851776","","",
"Botswana","BWA","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205.23696899","201.81082153","204.88697815","267.4956665","293.97189331","277.06048584","263.60546875","311.03723145","330.35922241","342.93563843","398.57070923","440.04370117","483.8059082","449.70568848","435.55368042","389.3807373","402.80163574","484.22390747","482.96307373","","",
"Central African Republic","CAF","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.28705597","9.54669666","10.80481339","12.96637344","13.89353085","14.7944603","16.09814835","19.37653732","19.16386795","22.45341301","17.81714249","20.03986931","20.52720833","17.99575615","20.81191635","18.99312592","21.8805294","29.9801693","53.66416168","","",
"Canada","CAN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2007.88085938","2063.92749023","2159.31591797","2562.91455078","2925.06713867","3296.50146484","3778.27148438","4199.28808594","4459.87646484","4357.23388672","5048.30908203","5355.67626953","5459.95947266","5409.78808594","5189.82666016","4615.64208984","4610.92626953","4845.58984375","4994.90234375","","",
"Central Europe and the Baltics","CEB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221.140526961712","252.17594661055","298.232475807809","372.941280917241","446.736799260729","522.503619439011","580.023553088371","729.292100782913","927.154194364806","842.035038601641","855.053471106668","906.674413330631","850.648139047474","914.354088641809","930.562374160849","812.044377097288","844.810436995064","932.984627829925","1054.65445347421","","",
"Switzerland","CHE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3559.81982422","3763.38452148","4211.72949219","5018.52734375","5608.703125","5673.94042969","5671.98144531","6154.703125","7120.65185547","7297.37988281","7705.17578125","9191.95898438","8917.11914063","9275.79882813","9578.64550781","9382.79101563","9439.42480469","9606.34960938","9870.6640625","","",
"Channel Islands","CHI","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","356.96377563","327.13198853","323.06716919","349.98782349","427.51669312","500.64517212","571.20141602","648.55981445","724.70123291","735.97894287","867.73077393","991.20288086","1077.82019043","1179.47265625","1145.40856934","1127.02160645","1171.62304688","1360.17358398","1455.60791016","","",
"China","CHN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.11240387","43.66367722","49.14166641","55.6510849","63.26198578","71.86441803","81.22816467","97.07929993","131.88728333","162.61755371","186.49150085","236.37492371","281.67715454","326.04159546","359.30932617","390.10409546","395.35995483","437.25674438","501.05938721","","",
"Cote d'Ivoire","CIV","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.47083664","31.83412552","31.49195862","39.49386978","47.48029327","49.2191925","54.63421631","66.77438354","78.02518463","74.76235962","73.97220612","74.19325256","76.09120941","72.7405014","80.42262268","63.07769775","67.21105194","69.34188843","71.88140869","","",
"Cameroon","CMR","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.93606567","26.67946053","30.40726662","36.96333313","40.55318832","41.44176483","42.79501724","47.281353","52.45386124","49.16592789","48.31293106","56.36682129","55.1756134","55.45908356","60.85925674","49.74619293","50.8497467","49.64924622","54.13952637","","",
"Congo, Dem. Rep.","COD","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.6212616","5.82149839","4.47839451","6.47020149","8.38838673","9.07471561","10.97469044","12.13539028","16.02249908","13.28515053","12.52543068","12.46153259","14.01603508","16.326828","19.37128258","19.87244987","20.58203506","19.41761589","18.51088905","","",
"Congo, Rep.","COG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.44025993","20.63038635","17.11676979","21.71119118","27.88204765","31.51848221","36.79486084","43.03957748","64.76908875","50.04588318","56.91404343","62.34162521","74.91969299","75.47943115","74.514328","60.12829971","54.10359192","51.26589584","47.5177536","","",
"Colombia","COL","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132.87971497","136.61053467","130.42552185","128.00614929","157.57557678","207.15899658","237.01751709","305.99179077","374.42697144","379.69586182","448.08776855","497.38070679","543.07000732","576.70123291","583.05889893","464.63497925","442.13824463","489.64459229","513.15869141","","",
"Comoros","COM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.77197266","43.472435","48.72956085","57.74796677","62.88409805","62.4527359","62.53800583","67.81578064","72.68344879","68.19288635","67.074646","78.71292114","65.57981873","69.27052307","68.98582458","60.21103287","60.74297714","61.72988892","65.22776031","","",
"Cabo Verde","CPV","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.03440475","67.14394379","72.8820343","89.07603455","98.08786774","100.67198181","118.32913971","133.41764832","133.2350769","135.40571594","151.16014099","161.03373718","176.98373413","191.2829895","191.17623901","146.60760498","151.69641113","176.48937988","194.85687256","","",
"Costa Rica","CRI","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","248.75341797","256.39358521","277.69869995","289.06826782","292.03182983","311.70877075","362.50491333","427.04202271","515.43334961","534.57446289","660.58642578","749.6449585","784.48297119","825.39324951","831.3001709","883.91546631","878.88891602","861.32006836","909.6730957","","",
"Caribbean small states","CSS","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","254.315730784821","249.085264604142","267.461758151052","273.626088645806","312.718499661009","345.807913563063","370.470280927234","429.251309548056","472.938936380095","460.245333080464","485.84130959612","506.38582249845","517.859726606786","535.499458697572","545.771013019577","569.963841274863","567.913190964623","610.205642007467","621.245733369024","","",
"Cuba","CUB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180.81121826","198.13365173","213.39079285","227.09095764","231.98782349","331.53213501","387.42019653","571.26550293","612.24359131","679.62634277","612.46508789","699.83428955","604.21234131","713.24133301","866.07562256","986.73400879","984.84844971","1000.28955078","986.93731689","","",
"Curacao","CUW","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","750.51672363","782.16162109","890.48297119","1145.05847168","1286.97155762","1366.01708984","1474.02062988","1694.27185059","2155.24658203","2105.4777832","2045.2923584","2114.66894531","1899.37255859","1916.32263184","1873.89135742","1616.54943848","1681.90368652","1780.34790039","1954.40686035","","",
"Czech Republic","CZE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342.92105103","388.54403687","497.74203491","640.66040039","746.32891846","852.65246582","942.11804199","1110.17663574","1449.33679199","1442.24279785","1373.9317627","1516.55541992","1387.40600586","1554.5090332","1512.92614746","1284.04675293","1321.62023926","1475.91516113","1765.58837891","","",
"Germany","DEU","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2344.35473633","2346.61499023","2567.49145508","3152.78051758","3459.80957031","3558.19824219","3697.92163086","4182.79931641","4669.63525391","4674.78320313","4611.81054688","5036.48486328","4762.84765625","5096.82080078","5304.31884766","4622.20654297","4742.03417969","5052.67333984","5472.20214844","","",
"Djibouti","DJI","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.95798492","31.04225731","40.19449615","46.11334229","40.28805161","40.95962524","47.32995605","50.44793701","53.96245575","55.32074356","56.2014122","68.77837372","72.22033691","67.53491211","73.12316895","82.28987885","76.86833954","72.2347641","70.86093903","","",
"Dominica","DMA","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","254.78555298","226.96006775","222.09385681","237.35446167","247.45881653","256.73413086","263.91165161","285.24041748","326.64169312","344.11965942","359.22134399","376.95007324","396.81378174","375.10510254","385.15658569","393.93655396","415.88751221","398.70941162","490.81829834","","",
"Denmark","DNK","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2496.04711914","2602.64282227","2895.80737305","3607.04296875","4194.87353516","4442.75537109","4778.89160156","5468.37939453","6137.77636719","6221.68896484","6011.53808594","6281.00439453","6003.83056641","6236.55419922","6380.78466797","5469.33496094","5565.59326172","5800.15283203","6216.76855469","","",
"Dominican Republic","DOM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140.13885498","145.35366821","155.09561157","106.13856506","106.65016174","171.23001099","164.10038757","198.07254028","240.41107178","256.35791016","309.95718384","335.00128174","359.60818481","359.57055664","380.07550049","400.38494873","424.3001709","443.67068481","461.54251099","","",
"Algeria","DZA","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.58218002","66.80211639","66.46335602","75.7433548","92.50652313","100.71382904","116.71431732","150.96563721","206.88519287","208.11991882","229.28945923","287.3861084","335.56195068","331.94168091","359.64212036","291.55355835","260.77255249","258.03955078","255.86943054","","",
"East Asia & Pacific (excluding high income)","EAP","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.9426591710026","39.0751228897817","43.5981927071713","49.7920460083691","56.0079971085487","64.3172502262893","73.8657966389907","88.4181252365133","115.600531012219","137.407102928079","159.742676503068","198.70943351997","232.313318537196","263.895908610272","287.335708442141","306.315846292803","311.520648370431","341.789280610472","387.198599774383","","",
"Early-demographic dividend","EAR","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.8989129181222","68.1854579533584","61.8563218308198","68.2179537308136","77.1162724667287","87.8359557172473","98.770604426212","114.437297371803","126.467239682142","128.384036444924","147.848923771258","161.749259768296","169.384720950485","174.459612542935","174.923560427639","172.321858335237","165.779226582631","180.899228201409","176.231894688671","","",
"East Asia & Pacific","EAS","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239.129083518146","222.492191468854","224.31331965364","251.743589759606","278.294719732057","292.109345384421","297.945677293021","322.05361374229","374.62539779316","419.709490404497","478.291456229563","586.635548291348","626.191348727354","603.85551733787","613.072620918405","599.642799182015","632.852614529868","665.364958941762","721.883561260737","","",
"Europe & Central Asia (excluding high income)","ECA","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.8609089345054","96.9806133079191","115.962878861519","142.874587480499","180.870942898274","227.502511404932","278.855868179076","352.751410979296","438.344433430398","378.560015134401","412.249034893084","468.258583418791","505.145232656449","536.095553398427","498.249698742576","375.503082564083","360.754747461805","402.847000341577","411.59536666943","","",
"Europe & Central Asia","ECS","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","941.243357128059","972.530026332337","1097.4143818504","1360.00647817598","1577.94562083038","1670.44554834414","1790.84034970987","2062.49831615069","2305.43792791849","2207.48280387552","2192.77686878778","2376.34480039192","2280.90801908156","2384.64745812882","2432.85600687709","2103.16863194483","2097.94345454353","2194.33873322425","2346.61700433536","","",
"Ecuador","ECU","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.89228439","70.81141663","96.82357788","131.59963989","149.38842773","167.4712677","189.32078552","209.25061035","247.14042664","272.46380615","330.00054932","409.03677368","481.82189941","518.41375732","549.784729","525.99731445","502.74447632","513.07617188","516.24798584","","",
"Egypt, Arab Rep.","EGY","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.65684509","73.07783508","68.25554657","53.82350159","53.93090057","63.86014175","71.35442352","78.95716858","97.20935059","106.66519165","113.24819946","125.25486755","150.71841431","150.61959839","167.24708557","183.43261719","153.48695374","113.97537994","125.54537201","","",
"Euro area","EMU","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1749.83858958732","1791.32161885674","1995.30171605919","2500.52680944904","2859.11937401411","2976.5123664991","3145.95414556685","3568.94680251295","4029.94985354767","3963.63610511154","3849.36127768286","4113.71556942997","3836.01762604825","4017.89052929277","4105.87928346261","3521.92601206378","3592.65732252905","3779.11659282165","4063.24878456844","","",
